quotes,
"For talking monkeys to speak of truth is hubris of the highest degree. Where is it writ large that talking monkeys should be able to model the cosmos? If a sea urchin or a racoon were to propose to you that it had a viable truth about the universe, the absurdity of that assertion would be self-evident, but in our case we make an exception.",
"If the words 'life, liberty, and the pursuit of happiness' don't include the right to experiment with your own consciousness, then the Declaration of Independence isn't worth the hemp it was written on.",
"The problem is not to find the answer, it's to face the answer",
"I think ideology is toxic, all ideology. It's not that there are good ones and bad ones. All ideology is toxic, because ideology is a kind of insult to the gift of human free thinking.",
"As the bonfires of knowledge grow brighter, the more the darkness is revealed to our startled eyes.",
"The truth for sure, 
 when it arrives, 
 will make you smile. 
 If it doesn't, 
 you should seek 
 a deeper truth.",
"The tension in the world is the tension between the ego and the feminine, not between the masculine and the feminine.",
"Nature is not mute, it is a man who is deaf.",
"Ego is a structure that is erected by a neurotic individual who is a member of a neurotic culture against the facts of the matter. And culture, which we put on like an overcoat, is the collectivized consensus about what sort of neurotic behaviors are acceptable.",
"Think about our dilemma on this planet. If the expansion of consciousness does not loom large in the human future, what kind of future is it going to be?",
"The only real experience that counts, is your own.",
"We are caught inside a mystery, veiled in an enigma, locked inside a riddle",
"Claim your place in the sun and go forward into the light. The tools are there; the path is known; you simply have to turn your back on a culture that has gone sterile and dead, and get with the programme of a living world and a re-empowerment of the imagination.",
"Culture is a perversion. It fetishizes objects, creates consumer mania, it preaches endless forms of false happiness, endless forms of false understanding in the form of squirrelly religions and silly cults. It invites people to diminish themselves and dehumanize themselves by behaving like machines.",
Worrying is betting against yourself.,
"Belief is a toxic and dangerous attitude toward reality. After all, if it's there it doesn't require your belief- and if it's not there why should you believe in it?",
The main thing to understand is that we are imprisoned in some kind of work of art.,
Western civilization is a loaded gun pointed at the head of this planet.,
"The bigger you build the bonfire, the more darkness is revealed.",
"Television is by nature the dominator drug par excellence. Control of content, uniformity of content, repeatability of content make it inevitably a tool of coersion, brainwashing, and manipulation.",
Human beings are co-partners with deity in the project of being. This is the basis of all magic.,
Anything which must be understood by millions of people is so hopelessly divorced from how it is that it becomes a form of fiction.,
How can we know who is the other until we know who is the self?,
Life must be a preparation for the transition to another dimension.,
"I’ll try to be around and about. But if I’m not, then you know that I’m behind your eyelids, and I’ll meet you there",
We are so much the victims of abstraction that with the Earth in flames we can barely rouse ourselves to wander across the room and look at the thermostat.,
"Life lived in the absence of the psychedelic experience upon which primordial shamanism is based is life trivialized, life denied, life enslaved to the ego.",
We are going through the eye of the needle,make sure you leave what you don't need behind
"You see, a secret is not something untold. It’s something which can’t be told.",
"Nature is not our enemy, to be raped and conquered. Nature
 is ourselves, to be cherished and explored. Shamanism has always known this,
 and shamanism has always, in its most authentic expressions, taught that the
 path required allies. These allies are the hallucinogenic plants and the
 mysterious teaching entities, luminous and transcendental, that reside in that
 nearby dimension of ecstatic beauty and understanding that we have denied until
 it is now nearly too late.",
"If the ego is not regularly and repeatedly dissolved in the unbounded hyperspace of the Transcendent Other, there will always be slow drift away from the sense of self as part of nature’s larger whole. The ultimate consequence of this drift is the fatal ennui that now permeates Western Civilization.",
"If we could feel what we are doing to the Earth, we would stop immediately.",
"Psychedelics can carry you farther and faster than most people care to go. Once you get to psychedelics, it's no longer a matter of seeking the answer, you have found the answer. Now the issue changes dramatically, you must face the answer.",
We live in condensations of our imagination,
No one knows enough to worry.,
Being imposes some kind of obligation to find out what's going on.,
"There’s light at the end of the tunnel. The problem is that tunnel is in the back of your mind. And if you don’t go to the back side of your mind you will never see the light at the end of the tunnel. And once you see it, then the task becomes to empower it in yourself and other people. Spread it as a reality. God did not retire to the seventh heaven, God is some kind of lost continent IN the human mind.",
"There is a spiritual obligation, there is a task to be done. It is not, however, something as simple as following a set of somebody else's rules",
"You have to take seriously the notion that understanding the universe is your responsibility, because the only understanding of the universe that will be useful to you is your own understanding.",
"Chaos is what we've lost touch with. This is why it is given a bad name. It is feared by the dominant archetype of our world, which is Ego, which clenches because its existence is defined in terms of control.",
One thing that these Buddhists have certainly gotten right is that attention to attention is the key to taking control of your mental life.,
"The artist’s task is to save the soul of mankind; and anything less is a dithering while Rome burns. Because of the artists, who are self-selected, for being able to journey into the Other, if the artists cannot find the way, then the way cannot be found.",
"And what is the primary datum? It's the felt presence of immediate experience. In other words, being here now is the primary datum.",
"We've painted ourselves into a corner where the only choice is real nightmare - triage, epidemic disease, famine, fascism, the collapse of human rights - or a leap to an entirely different level. We've taken business-as-usual off the menu. Now only the extreme possibilities loom.",
"This is what they have suppressed so long. This is why they are so afraid of the psychedelics, because they understand that once you touch the inner core of your own and someone else's being you can't be led into thing-fetishes and consumerism. The message of psychedelics is that culture can be re-engineered as a set of emotional values rather than products. This is terrifying news.",
"DMT is a reliable method for crossing in to a dimension that human beings have debated the existence of for 50.000 years. Is there an invisible nearby world inhabited by active intelligences with which human beings can communicate? You bet. And if you don't think so, then tell me you don't think so after you've smoked 75mg DMT. Otherwise we just don't have anything to talk about.",
"You are some kind of a mystery suspended between two eternities. And in that moment, when a mind looks out at a world and asks the question, ‘What is it?’ In that moment art can be created.",
We are the inheritors of a million years of striving for the unspeakable.,
"You are an explorer, and you represent our species, and the greatest good you can do is to bring back a new idea, because our world is endangered by the absence of good ideas. Our world is in crisis because of the absence of consciousness.",
"Don't worry. You don't know enough to worry. . . . Who do you think you are that you should worry, for cryin' out loud. It's a total waste of time. It presupposes such a knowledge of the situation that it is, in fact, a form of hubris.",
"I think the real test of psychedelics is what you do with them when you're not on them, what kind of culture you build, what kind of art, what kind of technologies... What's lacking in the Western mind is the sense of connectivity and relatedness to the rest of life, the atmosphere, the ecosystem, the past, our children's future. If we were feeling those things we would not be practicing culture as we are.",
"To my mind this makes psychedelics central to any political reconstruction, because these are the only force in nature that actually dissolve linguistics structures; lets the mechanics of syntax to be visible, allows the possibility for rapid introduction and spread of new concepts; gives permission for new ways of seeing; and this is what we have to do, we have to change our minds.",
"The overriding problems are brought on by the existence of the ego, a maladaptive behavioral complex in the psyche that gets going like a tumor. If it's not treated - if there's not pharmacological intervention - it becomes the dominant constellation of the personality.",
"Your memories are eroding away. The futures you anticipate, will mostly not come to pass, and the real richness is in the moment. And it's not necessarily some kind of 'Be Here Now' feel-good thing because it doesn't always feel good. But it always feels. It is a domain of feeling. It's primary.",
When we free ourselves we are not freed into a void. When we free ourselves we are freed into a dimension in which Art is an obligation.,
You're immortal as long as you live.,
"To contact the cosmic giggle, to have the flow of casuistry begin to give off synchronistic ripples, whitecaps in the billows of the coincidental ether, if you will. To achieve that, a precondition is a kind of unconsciousness, a kind of drifting, a certain taking-your-eye-off-the-ball, a certain assumptions that things are simpler than they are, almost always precedes what Mircea Eliade called ‘the rupture of plane’ that indicates that there is an archetypal world, an archetypal power behind profane appearances.",
To me it begins and ends with these psychedelic substances. The synergy of the psilocybin in the hominid diet brought us out of the animal mind and into the world of articulated speech and imagination.,
"Apparently there is a great discovery or insight which our culture is deliberately designed to suppress, distort, and ignore. That is that nature is some kind of minded entity. That nature is not simply the random flight of atoms through electromagnetic fields. Nature is not the empty, despiritualized , lumpen matter that we inherit from modern physics. But it is instead a kind of intelligence, a kind of mind.",
"If you actually look at the etymology of the word 'hallucination', what it's come to mean in English is a delusion. But what it really means in the original language is to wander in the mind. That's the meaning of 'hallucination', to wander in the mind.",
How do we fight back? By creating art.,
"The world is not made of anti-mu mesons, quarks, and photons, and electromagnetic fields. Reality is made of words.",
Every step into freedom contains within it the potential for greater bondage.,
There is no knowledge without risk taking.,
Cultures are virtual realities made of language.,
"We are alienated, so alienated that the self must disguise itself as an extraterrestrial in order not to alarm us with the truly bizarre dimensions that it encompasses.",
"We have to recognize that the world is not something sculptured and finished, which we as perceivers walk through like patrons in a museum; the world is something we make through the act of perception.",
"This is what I believe: That we are not pushed from behind by the casual unfolding of historical necessity, but that we are in the grip of an attractor of some sort, which lies ahead of us in time.",
Our world is in crisis because of the absence of consciousness,
"So you know what we have to do is stop looking for leadership from the top, because the least among us make their way into those positions of power... So what we have to do is knock off this fantasy of being citizens inside a democratic state, I mean, what we are, are the propagandized masses inside a fascist dictatorship.",
"I really think there is a very large distinction between synthetic and naturally occurring drugs. ... I think that these plants 'take people' as much as people take the plants. ... When you take one of these ancient, ancient hallucinogens you are locking in to the morphogenetic fields of all the people who ever took it.",
"Language betrays, 
 in order to mean.",
"I don’t know what life is like without cannabis, I hear there is such a thing.",
We are part of a symbiotic relationship with something which disguises itself as an extra-terrestrial invasion so as not to alarm us.,
Who is to say what is real and what is not?'Real' is a distinction of a naïve mind.,
Nobody is smarter than you are. And what if they are? What good is their understanding doing you?,
"We have been to the moon, we have charted the depths of the ocean and the heart of the atom, but we have a fear of looking inward to ourselves because we sense that is where all the contradictions flow together.",
The long night of human history is drawing at last to its conclusion.,
"What is needed is a spirit of boundary dissolution, between individuals, between classes, sexual orientations, rich and poor, man and woman, intellectual and feeling toned types. If this can happen, then we will make a new world. And if this doesn't happen, nature is fairly pitiless and has a place for us in the shale of this planet, where so many have preceded us.",
Biology seems to be a chemical strategy for amplifying quantum mechanical indeterminacy so that it leaves the subatomic realm and can be present in a hundred and forty five pound block of meat.,
The surface of things is not where attention should rest.,
Alcoholism isn't a disease. It's a failure of self-image.,
"So what needs to be done is to spread the idea that anxiety is inappropriate. It's sort of like we who are psychedelic have to function as sitters for society, because society is going to thrash, and resist, and think it's dying, and be deluded, and regurgitate unconscious material, and so forth and so on. And the role then, I think, for psychedelic people is to try and spread calm.",
All time is is how much change you can pack into a second.,
"The psychedelic inner astronaut sees things which no human 
 being has ever seen before, and no other human being will ever see again. But in fact this has no meaning unless it is possible to carry it back into the collectivity.",
We can will the perfect future into being by becoming microcosms of the perfect future.,
"What blinds us, or what makes historical progress very difficult, is our lack of awareness of our ignorance.",
Cyberspace is the human transition into a mathematical super space where we as a collectivity become optionally a single point of view.,
"I believe in extraterrestrials, but I believe that real extraterrestrials are so peculiar that the job is to recognize them.",
I think that a lot of people are making a lot of money spreading anxiety. Anxiety sells.,
"Beauty is self-defined, perceived and understood without ambiguity. It's the stuff that lies under the skins of our individual existences.",
Half the time you think your thinking you’re actually listening,
It's a product of the fractal laws that govern the world at an informational level. There is no deeper truth.,
"Psychedelics are not flashlights into the chaos of the Freudian unconscious, they are tools for mathematically unpacking your mind into a higher dimensional space. In the Newtonian and print created space that we are walking around in you, are like a self extracting archive, that hasn't self extracted itself yet.",
"The Internet is light at the end of the tunnel. I don't care if it's being used to peddle pornography, I don't care if it's being trivialized in a thousand ways. Anything can be trivialized. The important point is that it is leveling the playing field of global society. It is creating de-facto an entirely new set of political realities. None of the constipated, oligarchic structures that are resisting this were ever asked. Their greed betrayed them into investing in this in the first place without ever fully grasping what the implications of it were for their larger agenda.",
"In shamanism and certain yogas, Taoist yoga, claim very clearly that the purpose is to familiarize yourself with this after-death body, in life, and then the act of dying will not create confusion in the psyche. You will recognize what is happening. You will know what to do. And you will make the clean break.",
"The smart people who are straight are involved in simply the media management of what has turned into a slow apocalypse, spreading starvation, exacerbated class differences, toxified agriculture, so forth and so on. I don't believe the Establishment thinks there are solutions. Their policy is basically the management of panic, which is hardly a forward moving approach to the adventure of human civilization.",
"What they [psychedelics] cause is what I'm advocating, a fundamental revaluation of cultural values, because culture as we're practicing it currently is causing a lot of pain to a lot of people, and animals, and ecosystems, none of whom were ever allowed to vote on whether they wanted this process to go in this direction.",
"We cannot evolve faster than our language. The edge of being is the edge of meaning, and somehow we have to push the edge of meaning. We have to extend it.",
"Our medium is meat, but we are made of information.",
The shaman is a person who is able to transcend the dimensional confines of cultural existence. They know more than the people they serve. The people they serve are like children within the game of culture. Only the shaman knows that culture is a game. Everyone else takes it seriously. That's how he can do his magic.,
The history of man that you don't know is what your unconscious is made out of.,
"The drug may not be toxic, but you may be self-toxic, and you may discover this in the drug experience.",
I believe that the place to search for extraterrestrials is in the psychic dimension.,
It's no big deal about how you get language to evolve. You cause language to evolve by saying new and intelligent things to each other.,
"Nature loves courage. You make the commitment and nature will respond to that commitment by removing impossible obstacles. Dream the impossible dream and the world will not grind you under, it will lift you up.",
"I often like to think that our map of the world is wrong, that where we have centered physics, we should actually place literature as the central metaphor that we want to work out from. Because I think literature occupies the same relationship to life that life occupies to death. A book is life with one dimension pulled out of it. And life is something that lacks a dimension which death will give it. I imagine death to be a kind of release into the imagination in the sense that for characters in a book, what we experience is an unimaginable dimension of freedom.",
"We want freedom. We want freedom from the constraints of the cycles of the sun and the moon. We want freedom from drought and weather, freedom from the movement of game, the growth of plants, freedom from control from mendacious popes and kings, freedom from ideology, freedom from want. This idea of freeing ourselves has become the compass of the human journey.",
"What blinds us, or makes historical progress very difficult, is our lack of awareness that our beliefs have grown obsolete and should be put aside.... This is I think much of the problem of the modern dilemma: Direct experience has been discounted, and in its place all kinds of belief systems have been erected.... If you believe something, you are automatically precluded from believing its opposite; which means that a degree of your human freedom has been forfeited in the act of committing yourself to this belief.",
"I think that what these psychedelics do, is they actually do connect you to the whole circle. You stand outside of the moment from which you embarked on your psychedelic experience, and you see eternity like a vast landscape deployed in front of you. So what I think psychedelics are is they're about time, and they somehow make all time co-present.",
The word 'self' is as great a mystery as the word 'other'. It's just a polarity between two mysteries.,
A singularity is a place where the rules are broken. A miracle is a singularity.,
"You put two egos together and you've either got a conflict, which is always interesting, or better yet, a love affair.",
"Our culture takes us out of the body and sells our loyalty into political systems, into religions, into inanimate objects and machines, collections, so forth and so on. The felt experience of the body is what the psychedelics are handing back to us.",
"...the mind is more powerful than any imaginable particle accelerator, more sensitive than any radio receiver or the largest optical telescope, more complete in its grasp of information than any computer: the human body- its organs, its voice, its powers of locomotion, and its imagination- is a more-than-sufficient means for the exploration of any place, time or energy level in the universe.",
There is nobody who is so enlightened that they don't need to work on themselves.,
"Our destiny is to become what we think, to have our thoughts become our bodies and our bodies become our thoughts.",
"It is true that when you smoke DMT, for example, at a sufficiently high and prepared dose, you get elves, everybody does. All you need do, is inhale deeply three times, and you know... You want contact? You want elves? You want alien contact? You'll have that!",
Our world is endangered by the absence of good ideas,
"The only difference between a drug and a computer is that one is slightly too large to swallow. ... And our best people are working on that problem, even as we speak.",
The apocalypse is not something which is coming. The apocalypse has arrived in major portions of the planet and it’s only because we live within a bubble of incredible privilege and social insulation that we still have the luxury of anticipating the apocalypse.,
"We are, in fact, hyper-dimentional objects of some sort which cast a shadow into matter, and the shadow in matter is the body. And at death, what happens basically, is that the shadow withdraws, or the thing which cast the shadow withdraws, and metabolism ceases, and matter which had been organized into a dissipative structure in a very localized area, sustaining itself against entropy by cycling material in and degrading it and expelling it, that whole phenomenon ceases, but the thing which ordered it is not affected by that.",
"There is a sort of fair play, and if you can get in touch with that in your life, if you can have that perception, the world will begin to work for you, it will begin to move toward you... Nature loves courage, and it shows you that loves courage because it will remove obstacles.",
"We have changed. We are no longer, as I said, bipedal monkeys. We are instead a kind of cybernetic coral reef of organic components and inorganic technological components.",
"There is an angel within the monkey struggling to get free, and this is what the historical crisis is all about.",
You aren't an object. You're a process of some sort.,
"Psychedelic drugs, especially psilocybin, allow a searchlight to be thrown on these deeper levels of the psyche, as Jung correctly stated. But it is not a museum of archetypes or psychic constructs, as he seemed to assume. It is a frontier of wholeness into which any person, so motivated and so courageous as to wish to do it, can go and leave the mundane plane far behind.",
If we were to place our power at the service of our imaginations rather than our primate politics we would create a civilization worthy of the name.,
The imagination is a dimension of nonlocal information,
"What the churches are peddling is high abstraction, and you really have to work yourself up into a lather to be able to accept that as worthy of that kind of attention. The psychedelic subset of society is into an experience, and it's accessible.",
"The psychedelic mind is a higher dimensional mind, it is not fit for three dimensional space time.",
"You are the cutting edge of a thirteen billion year old process of defining novelty. Your acts matter. Your thoughts matter. Your purpose? To add to the complexity. Your enemy? Disorder, entropy, stupidity, and tastelessness.",
Thinkers are not a welcome addition to most social situations.,
"We can no longer have forbidden areas of the human mind, or cultural machinery. We have taken upon ourselves the acquisition of so much power that we now must understand what we are. We cannot travel much further with the definitions of man that we inherit from the Judeo-Christian tradition. We need to truly explore the problem of consciousness.",
"Patanjali specifically says that there are three paths to the goal of yoga. And they are, control of the breath, control of posture, and light-filled herbs. It says it right there. Stanza 6 of the Yoga Sutras of Patanjali.",
It's meanings that we need to coax into our lives.,
"‎The way you understand and investigate time is by moving inward, into metabolism. The human body is a knot in time.",
The engineers of the future will be poets.,
Only psychos and shamans create their own reality,
"We are somehow the children of the planet, we are somehow its finest hour; we bind time, we bind the past, we anticipate the future - we are going hyper-spatial; we are claiming a whole new dimension for biology that it never claimed before. We are actually becoming a fourth-dimensional kind of creature. Our future is somehow with us, as we seem to be able to move through metamorphosis into our own imaginations - a super civilization spread throughout space and time. Our future is a mystery, our destiny is to live in the imagination.",
The culture cannot evolve faster than the language. The language is the flashlight that shows the path.,
"Everything will come true in cyberspace. That's the whole idea. What cyberspace is, on one level, it's simply the human imagination vivified, hardwired.",
"Science is the exploration of the experience of nature without psychedelics. And I propose, therefore, to expand that enterprise and say that we need a science beyond science. We need a science which plays with a full deck.",
"Capitalism is not a human being. Capitalism is a Moloch, a god, a god of bloody sacrifice that sees human beings as ants",
This is the nature of going forward into being: A series of self-transforming ascents of level.,
No one yet understands the mysterious intelligence within plants or the implications of the idea that nature communicates in a basic chemical language that is unconscious but profound. We do not yet understand how hallucinogens transform the message in the unconscious into revelations beheld by the conscious mind.,
"It is not easy to measure the ocean, but we can be measured by it, confront it, and be in it.",
Ninety percent of the difficulty in your intellectual life would never have happened if you just had better taste.,
The future holds no terrors for a person who knows how process inevitably unfolds. They are always right and with it each moment.,
Culture is a simplification and a lie. It's the currency by which fools navigate the world. Smart people get beyond it.,
Once you have the psychedelic tool in hand then some real choices have to be made.,
"Drugs are about dulling perception, about addiction and about behavioral repetition...What *psychedelics* are about is pattern- dissolving experiences of an extraordinarily high or different awareness. They are the exact opposite of drugs. They promote questioning , they promote consciousness, they promote value examinations, they promote the reconstruction of behavioral patterns.",
"The Logos is a voice heard, in the head. And the Logos was the hand on the rudder of human civilization for centuries, up until, in fact, the collapse of the ancient mystery religions and the ascendancy of Christianity to the status of a world religion.",
No culture on earth is as heavily narcotized as the industrial West in terms of being inured to the consequences of maladaptive behavior. We pursue a business-as-usual attitude in a surreal atmosphere of mounting crises and irreconcilable contradictions.,
Mind conjures miracles out of time.,
"You know what, I'm stoned, and I'm proud.",
We have wandered into a state of prolonged neurosis because of the absence of a direct pipeline to the unconscious and we have then fallen victim to priestcraft of every conceivable sort.,
"I really think that the psychedelic realm is the realm of ideas, and that ideas which change the world come first from that place.",
"The question is being asked, 'Are we alone?'  And though we now focus on that question we need to think beyond that to what if we're not alone? Then what becomes the next imperative question?",
"Television, introduced at the close of World War II, has become a form of electronic heroin, and it isn't even your trip. They don't even let you go on your own trip, you get a trip designed by Madison Avenue.",
"To me, the psychedelic experience is the experience of trying to make sense of reality.",
It seems to me far more likely that an advanced civilization would communicate inter dimensionally and telepathically.,
What was created by the era of the proper gentleman was excellent table manners and genocide over most of the surface of the planet.,
Ecstasy is not simply joy. Ecstasy is an emotion of great complexity that hovers almost on the edge of terror sometimes.,
"The reason I am so passionately committed to the psychedelic thing is because I see it as radical, and if this is not the moment for radical solutions, what is?",
Consistency is the hobgoblin of small minds.,
"A hallucination is a species of reality, as capable of teaching you as a videotape about Kilimanjaro or anything else that falls through your life.",
"Liberate yourself from the illusion of culture. 
Take responsibility for what you think and what you do.",
"Wherever we press beyond the thin curtain of rationalist culture, we discover the incredibly rich, erotic, scary, promising presence of this intelligent Other, that beckons us out of history, and says, you know: 'The galaxy lies waiting.'",
"The pro-psychedelic plant position is clearly an antidrugs position. Drug dependencies are the result of habitual, unexamined, and obsessive behavior; these are precisely the tendencies in our psychological makup that the psychedelics mitigate. The plant hallucinogens dissolve habits and hold motivations up to inspection by a wider, less egocentric, and more grounded point of view within the individual.",
"It's clearly a crisis of two things: of consciousness and conditioning. We have the technological power, the engineering skills to save our planet, to cure disease, to feed the hungry, to end war; But we lack the intellectual vision, the ability to change our minds. We must decondition ourselves from 10,000 years of bad behavior. And, it's not easy.",
"We tend to disempower ourselves. We tend to believe that we don’t matter. And in the act of taking that idea to ourselves we give everything away to somebody else, to something else.",
"By passing into the psychedelic phase, the space-faring phase, the entire species is passing into adolescence.",
What I think is going on is that probably language was entertainment long before it was meaning. It's a kind of tuneless singing.,
"Not to know one's true identity is to be a mad, disensouled thing — a golem. And, indeed, this image, sick-eningly Orwellian, applies to the mass of human beings now living in the high-tech industrial democracies. Their authenticity lies in their ability to obey and follow mass style changes that are conveyed through the media. Immersed in junk food, trash media, and cryp-tofascist politics, they are condemned to toxic lives of low awareness. Sedated by the prescripted daily television fix, they are a living dead, lost to all but the act of consuming.",
"In a sense, what's happening is that the unconscious mind is a luxury the human species cannot afford at this point in our dilemma, and so the unconscious mind is simply rising into consciousness by being hardwired into this global infrastructure.",
"The psychedelic experience is simply a compressed instance of what we call understanding, so that living psychedelically is trying to live in an atmosphere of continuous unfolding of understanding, so that every day you know more and see into things with greater depth than you did before. This is a process of education.",
Psychedelic experiences and dreams are chemical cousins,they are only different in degree.
I think that's the job of each of us - to show our best toys and our best tricks that lift us and our friends to higher and higher levels. There is no end to this bootstrapping process. The future of the human mind and body and the future of humans together is endlessly bright.,
"I think institutions will inevitably substitute a rite or a ritual for the authentic, for the real McCoy, because then priests can control the pipeline to god, and the parishioner can approach with offerings. But if everybody can have a pipeline to deity, why then the whole priest scam is put out of business.",
"Sometime in the last 50,000 years, before 12,000 years ago, a kind of paradise came into existence. A situation in which men and women, parents and children, people and animals, human institutions and the land all were in dynamic balance and not in any primitive sense at all. Language was fully developed, poetry may have been at its climax, dance, magic, poetics, altruism, philosophy. There's no reason to think that these things were not practiced as adroitly as we practice them today and it was under the boundary dissolving influence of psilocybin.",
The psychedelic issue is a civil rights and civil liberties issue. It is an issue concerned with the most basic of human freedoms: religious practice and the privacy of the individual mind.,
"What happens with DMT is you leap over all the barriers in the first few seconds. Unlike mushrooms where over hours and hours on a high dose you might navigate yourself to the center of the mandala, DMT is like being struck by metaphysical lightening.",
"The leading edge of reality is mind, and mind is the primary substratum of being.",
"What is happening, I think, it's really bigger than psychedelics, it's bigger than human evolution. We are not making the waves in this ocean. We are corks, riding the waves of the ocean. But we are privileged, by perhaps chance alone, to occupy a unique moment in the history of the universe. A moment when the universe goes through some kind of self-transforming, evolutionary, inflationary expansion. That's what's happening.",
"Culture is more and more consciously becoming a project carried out in the domain of language by, for instance, propaganda both governmental and commercial.",
I think what we have to do is convince people that matter is tacky.,
Nobody should be allowed more than fifty years to get their act together.,
Our theories are the weakest part of what we say. What we're working from is the fact of an experience which we need to make sense of.,
LSD is different. LSD is like psychoanalytical Drano. It's not a personality.,
I think the world is growing more psychedelic every day. I'm completely hopeful. . . . This is how it should be. This is what it's like when a species prepares to depart for hyperspace.,
We are consciousness. We may not always be monkeys.,
"The shaman is not merely a sick man, or a madman; he is a sick man who has healed himself.",
"I think it's the sheer power of the hallucinogens that puts people off. You either love them or you hate them, and that's because they dissolve world views. And if you like the experience of having your entire ontological structure disappear out from under you, if you think that's a thrill, you'll probably love psychedelics.",
"The way out then is personal responsibility, new operating systems downloaded from outside of culture, which means from the deeper wisdom of the psychedelic plants and then a commitment to community and a motto of ""To the future, without fear!"" Without fear!",
[DMT] raises all the questions in a hurry. It's so intense and so oriented toward the other and the visual and the hallucinogenic that it isn't really like a drug. It's more like an event that you ran into. You just came around a corner and there was the unspeakable.,
"It is now very clear that techniques of machine-human interfacing, pharmacology of the synthetic variety, all kinds of manipulative techniques, all kinds of data storage, imaging and retrieval techniques - all of this is coalescing toward the potential of a truly demonic or angelic kind of self-imaging of our culture... And the people who are on the demonic side are fully aware of this and hurrying full-tilt forward with their plans to capture everyone as a 100% believing consumer inside some kind of a beige furnished fascism that won't even raise a ripple.",
Animals are something invented by plants to move seeds around. An extremely yang solution to a peculiar problem which they faced.,
"Skywalker is a direct translation of the word shaman out of the Tungusic, which is where Siberian shamanism comes from. So these heroes that are being instilled in the heart of the culture are shamanic heroes. They control a force which is bigger than everybody and holds the galaxy together.",
The psychedelics are this immense tool for the inspection of our own nature.,
